area,rooms,bathroom,parking spaces,floor,hoa,rent amount,property tax,fire insurance,total
60,2,1,1,10,350,1880,0,24,2254
325,5,5,4,0,0,6000,420,91,6511
43,2,1,1,0,274,1061,7,14,1356
170,3,2,2,0,0,2300,98,35,2433
55,1,2,0,6,504,842,0,3,1349
200,3,3,1,8,1687,5800,365,74,7926
150,3,2,1,0,0,2500,59,38,2597
140,2,1,0,0,0,1650,167,25,1842
160,3,3,1,6,2000,4500,84,58,6642
300,3,4,4,0,1,2800,292,43,3136
408,4,6,3,20,2800,15000,1667,191,19660
99,3,2,1,8,970,2100,180,27,3277
180,3,2,1,2,1000,10000,180,127,11310
230,4,5,4,0,0,8000,526,121,8647
210,4,4,3,9,2100,9100,667,116,11980
440,1,2,4,0,1,9800,584,148,10530
55,2,2,2,6,780,1150,142,15,2087
70,1,2,1,11,1700,1500,184,20,3404
370,5,4,3,0,0,14000,1290,211,15500
157,3,3,1,5,1325,4500,347,58,6230
176,3,3,3,9,1950,5000,542,64,7556
78,3,1,1,2,500,850,50,11,1411
35,1,1,0,7,411,1080,35,14,1540
52,1,1,1,8,650,1200,29,16,1895
240,4,4,3,1,2800,4200,792,54,7846
84,2,3,2,8,859,4000,261,16,5136
125,3,3,2,0,0,2800,38,43,2881
78,3,2,1,15,542,1935,78,9,2564
58,2,1,1,1,385,3500,64,45,3994
113,3,2,2,1,800,1915,0,7,2722
52,1,1,1,8,1700,4420,188,57,6365
28,1,1,0,6,376,1450,67,19,1912
54,1,1,0,8,350,1940,3,25,2318
270,4,4,4,5,4500,12850,1834,163,19350
220,3,3,3,9,3500,8900,1466,113,13980
118,3,3,2,5,1800,9000,352,115,11270
92,3,2,1,9,1022,3112,0,13,4147
62,2,1,1,17,716,3356,217,13,4302
250,3,4,3,11,4000,5100,975,65,10140
750,4,5,5,0,0,10400,667,157,11220
177,3,2,2,0,0,4000,459,61,4520
138,3,2,1,7,2000,7600,238,97,9935
140,3,2,1,5,1091,5000,292,64,6447
450,4,5,6,0,0,9000,1150,136,10290
167,3,3,3,4,2334,1670,555,22,4581
30,1,1,1,11,1600,2900,180,37,4717
120,3,2,0,0,0,2250,0,34,2284
60,2,1,1,0,485,800,60,11,1356
210,3,3,4,0,0,3294,276,50,3620
49,1,1,1,7,1730,6200,0,79,8009
75,2,2,1,8,930,2950,110,38,4028
109,3,2,1,2,1450,5300,0,68,6818
57,1,2,0,17,670,1400,0,18,2088
100,4,2,2,0,0,3500,42,53,3595
70,2,2,2,11,2847,3290,590,42,6769
250,3,2,8,0,0,6500,1360,98,7958
103,3,2,2,6,1150,3000,459,39,4648
90,3,2,2,11,3160,5000,384,64,8608
273,4,2,2,4,2100,2770,366,36,5272
37,1,1,0,31,583,1650,57,21,2311
61,2,1,1,4,459,1850,0,24,2333
64,2,2,1,0,773,1900,152,29,2854
220,3,5,4,10,2250,6800,84,87,9221
58,2,2,1,1,553,2530,0,22,3105
145,3,3,3,6,1100,12000,667,153,13920
380,5,5,4,0,500,15000,1172,226,16900
93,3,2,2,7,750,2200,84,28,3062
36,1,1,1,8,323,2150,85,28,2586
78,2,2,1,2,1250,7250,390,92,8982
38,2,1,1,3,140,1250,15,16,1421
101,3,2,2,1,632,2200,119,28,2979
400,4,5,5,0,0,7200,350,109,7659
65,2,1,0,4,1261,1450,166,19,2896
248,3,4,3,2,4325,5300,1521,68,11210
360,3,5,6,17,7552,3000,4830,39,15420
47,2,1,1,6,500,1500,0,20,2020
56,1,1,1,8,2500,4600,467,59,7626
190,3,3,1,3,2150,6300,459,80,8989
69,3,1,1,8,650,1350,84,18,2102
235,3,2,2,5,3650,7200,626,92,11570
120,3,3,0,8,681,5112,0,17,5810
70,1,1,1,2,300,1200,157,16,1673
196,3,5,3,3,3338,8440,1223,60,13060
89,3,3,2,8,965,3800,150,49,4964
33,1,1,1,5,330,1500,79,20,1929
68,1,2,1,6,2304,9000,532,115,11950
110,3,2,2,7,900,2100,100,27,3127
40,1,1,1,14,470,3990,90,51,4601
999,5,7,8,0,0,14000,667,211,14880
33,1,1,0,1,250,1305,0,17,1572
200,4,3,2,10,2400,4500,1334,58,8292
82,2,2,2,4,924,2827,291,36,4078
240,4,2,2,6,2800,3000,292,39,6131
58,1,1,0,5,540,900,66,12,1518
80,2,2,1,8,1000,4500,250,58,5808
300,4,2,6,0,0,5000,250,76,5326
400,4,5,3,0,0,15000,1750,226,16980
161,4,3,2,1,1450,10000,467,127,12040
365,4,5,6,4,3722,13900,2588,177,20390
120,3,3,2,23,1500,7300,400,93,9293
104,2,2,2,7,1100,4200,210,54,5564
180,3,1,5,0,0,6500,567,98,7165
48,1,1,1,9,925,4300,90,55,5370
138,2,3,2,22,1500,9800,545,125,11970
350,4,3,4,0,1,7300,600,110,8011
255,3,3,2,8,2964,15000,667,191,18820
98,2,3,3,13,800,4150,375,53,5378
136,4,5,2,10,1300,3800,280,49,5429
190,3,3,4,0,1,4500,0,68,4569
60,2,1,1,6,760,1850,70,24,2704
320,4,5,0,11,4600,8700,2300,142,15740
40,2,1,0,0,0,1100,0,17,1117
100,4,1,0,0,0,1600,100,25,1725
90,2,1,0,0,0,2600,480,40,3120
100,2,2,1,3,299,2023,60,26,2408
135,3,2,1,13,1535,7000,350,89,8974
100,3,3,2,0,120,2000,0,31,2151
65,3,1,0,1,0,3655,159,47,3861
387,4,6,4,1,5200,6400,2792,82,14470
235,3,3,1,3,2585,5150,575,66,8376
50,2,1,1,4,250,1500,35,20,1805
77,2,2,2,18,547,3000,203,39,3789
120,3,3,1,14,1350,2950,297,38,4635
70,2,3,1,7,1196,2004,0,26,3226
40,1,1,0,2,210,1271,0,5,1486
295,7,6,4,0,0,6200,334,94,6628
320,3,3,4,0,0,10000,1000,151,11150
100,2,1,1,10,1095,2900,234,37,4266
153,4,3,3,3,2500,5500,700,70,8770
85,3,3,2,3,1165,3566,363,11,5105
450,4,4,3,0,0,11500,875,173,12550
50,1,1,0,1,150,810,0,11,971
90,2,2,1,3,1000,3000,50,39,4089
32,1,1,0,9,300,600,4,8,912
150,2,1,4,0,0,2800,203,43,3046
86,3,2,0,8,750,3400,188,44,4382
230,3,5,3,3,3800,11000,1100,140,16040
420,4,4,2,4,3300,13000,1417,165,17880
79,3,2,2,4,660,2900,26,37,3623
400,4,4,4,0,0,10000,912,151,11060
65,2,1,3,9,800,2000,217,26,3043
73,3,2,2,1,446,2096,124,27,2693
45,1,1,1,1,3000,5520,0,70,8590
800,5,7,6,0,1,15000,2051,226,17280
60,2,1,1,8,470,1800,0,23,2293
137,3,3,3,4,1500,9800,417,125,11840
100,3,2,1,4,886,3700,96,47,4729
100,3,3,2,0,900,4100,100,62,5162
90,3,1,1,7,756,1450,20,19,2245
166,4,3,3,6,1860,2150,284,28,4322
180,3,2,2,6,2066,5500,518,70,8154
300,2,3,2,0,0,3200,0,49,3249
150,3,3,2,0,0,2050,250,31,2331
60,1,1,1,13,646,3900,109,50,4705
42,1,1,1,16,1022,1200,134,16,2372
46,1,1,0,7,400,700,0,9,1109
40,1,1,1,5,603,4320,181,55,5159
55,1,1,1,6,640,700,36,9,1385
83,2,2,1,21,782,4800,174,61,5817
220,4,3,3,4,3200,4000,967,51,8218
190,3,4,3,2,3800,5950,1209,76,11040
65,2,1,1,1,578,2050,61,29,2718
186,3,3,2,22,1350,5435,405,69,7259
80,1,1,0,0,0,1200,1,19,1220
175,3,4,3,7,0,9000,0,115,9115
95,3,2,0,0,0,1690,0,26,1716
86,3,1,1,6,460,3150,0,40,3650
300,4,4,3,0,0,10000,767,151,10920
108,4,3,2,4,1134,6500,609,83,8326
45,1,1,1,3,521,600,38,8,1167
37,1,1,0,16,315,1519,30,20,1884
30,1,1,1,10,540,3237,350,42,4169
246,3,4,4,9,3350,10000,1480,127,14960
234,3,5,3,17,2750,14000,1334,178,18260
73,2,2,1,6,1072,5000,196,64,6332
113,3,2,2,8,1750,2975,359,38,5122
110,3,3,2,0,560,3200,1056,49,4865
400,3,2,8,0,0,15000,1334,226,16560
29,1,1,0,0,0,1430,0,19,1449
140,2,2,2,0,0,2700,56,41,2797
28,1,1,1,13,615,2800,42,36,3493
200,3,3,3,0,0,7000,737,106,7843
20,1,1,0,11,359,1850,0,24,2233
88,3,2,2,11,1350,5870,108,75,7403
40,1,1,1,3,400,1500,59,20,1979
150,3,2,2,16,1700,5000,484,64,7248
187,3,2,3,0,500,3500,193,53,4246
51,1,1,1,13,513,2700,84,35,3332
62,2,2,1,1,684,5050,227,64,6025
150,3,2,4,0,0,9670,55,146,9871
48,1,1,1,21,1137,6698,166,85,8086
60,2,1,1,0,0,830,0,13,843
53,1,1,1,5,1132,2600,0,33,3765
74,2,1,2,9,1100,6600,424,84,8208
53,1,1,0,2,170,1680,68,22,1940
300,4,5,4,0,0,4000,362,61,4423
180,2,3,2,13,0,12500,0,159,12660
53,2,2,1,4,450,1650,0,13,2113
296,6,4,8,0,0,5200,375,79,5654
145,4,3,2,1,1644,4800,500,61,7005
230,3,3,3,11,1900,4080,417,52,6449
420,4,4,4,19,4900,11050,3700,141,19790
34,1,1,0,10,200,1610,25,21,1856
27,1,1,1,6,0,3700,0,47,3747
17,1,1,0,1,300,2200,50,28,2578
64,2,1,2,10,2530,4000,342,51,6923
645,5,8,8,0,0,15000,2334,226,17560
68,2,2,1,6,600,1339,0,16,1955
68,1,1,1,12,4240,6000,584,77,10900
134,3,3,3,8,1680,2125,375,27,4207
43,1,1,0,13,250,1700,0,22,1972
48,1,1,2,7,2300,7000,245,89,9634
220,5,4,3,0,0,8000,425,121,8546
600,5,5,6,0,0,15000,2100,191,17290
260,3,4,3,3,3400,1040,1250,14,5704
250,3,4,0,6,3500,5000,1334,64,9898
126,3,2,2,18,990,1680,0,22,2692
62,2,2,0,6,645,1400,92,18,2155
68,2,1,0,2,300,1300,0,17,1617
195,4,3,4,7,1808,2700,1067,35,5610
57,2,2,1,22,480,4500,140,58,5178
556,4,5,7,0,0,7000,2059,106,9165
70,2,1,1,14,576,2400,162,31,3169
105,3,2,3,1,1250,1900,552,25,3727
200,4,3,2,1,1150,3400,209,44,4803
290,3,5,4,8,3580,7000,0,89,10670
90,2,2,1,7,867,3910,0,15,4792
94,1,2,2,2,1356,13000,384,165,14910
130,3,4,2,11,1550,2318,411,30,4309
40,1,1,0,0,0,1100,195,17,1312
110,4,5,3,0,0,3900,625,59,4584
28,1,1,0,5,255,1764,0,23,2042
240,3,3,3,11,3000,10000,1200,127,14330
100,3,3,3,1,1000,3300,417,42,4759
20,1,1,0,0,0,2060,0,27,2087
300,4,4,4,19,2800,9000,1667,115,13580
16,1,1,0,1,0,850,30,11,891
90,2,1,0,2,0,1720,0,26,1746
90,3,3,2,1,1171,1997,280,26,3474
39,2,1,0,3,120,1450,43,19,1632
578,4,5,8,0,0,9500,787,143,10430
180,3,2,1,0,0,3000,163,46,3209
209,3,3,0,4,2200,4000,803,51,7054
170,3,3,2,6,2377,9500,828,121,12830
250,4,5,4,6,2050,9800,998,125,12970
262,4,5,4,17,2500,2250,1350,29,6129
100,3,3,0,0,0,1955,30,30,2015
200,3,2,2,0,0,2900,791,44,3735
70,2,1,1,6,550,3000,0,39,3589
244,3,3,3,4,5000,8900,1679,113,15690
270,5,4,4,6,3500,7000,1684,89,12270
45,1,1,0,0,0,1030,60,16,1106
20,1,1,0,3,340,2400,59,31,2830
70,2,2,0,1,720,3750,25,48,4543
130,2,2,5,0,0,1800,321,28,2149
104,2,2,1,2,580,1700,122,22,2424
65,1,1,1,9,1000,2500,0,32,3532
235,3,3,3,11,1367,6500,579,83,8529
200,3,4,2,2,2700,9180,0,117,12000
150,2,2,1,0,0,2175,0,12,2187
60,2,1,1,2,314,1000,0,13,1327
82,1,1,2,1,1650,8000,267,102,10020
380,3,2,3,5,3200,15000,917,191,19310
380,4,4,3,1,2300,8000,2180,102,12580
54,2,2,1,16,665,2200,117,28,3010
67,2,2,1,1,580,3500,60,45,4185
330,2,4,3,0,0,6000,2000,91,8091
117,4,5,4,10,1523,3175,711,41,5450
200,3,3,5,0,0,2650,220,40,2910
305,2,3,0,10,3500,5000,667,64,9231
53,2,2,2,5,757,2495,166,11,3429
170,4,3,2,0,0,1750,109,27,1886
50,1,1,1,13,500,1800,0,23,2323
250,4,2,3,2,3000,15000,100,191,18290
164,3,2,1,15,1229,3700,198,47,5174
90,2,1,1,0,0,2500,219,38,2757
115,3,3,1,5,1035,1900,30,25,2990
206,3,3,1,11,2914,7400,586,94,10990
50,2,2,1,10,380,1900,0,25,2305
49,2,1,1,1,263,1000,38,13,1314
30,1,1,0,5,330,1210,21,16,1577
130,3,1,1,0,0,5600,0,85,5685
360,4,9,8,0,0,8540,1329,129,9998
54,2,1,1,1,670,1932,73,8,2683
252,3,3,4,0,0,3300,259,50,3609
130,3,2,0,0,0,1400,10,22,1432
400,4,4,3,0,1200,8700,458,131,10490
27,1,1,0,2,50,895,41,12,998
45,1,1,1,8,589,2349,0,8,2946
260,4,4,2,5,2570,4400,584,56,7610
74,2,3,2,24,450,3200,40,41,3731
59,2,2,0,5,754,2040,25,26,2845
51,2,1,1,4,455,2500,23,32,3010
346,4,4,4,6,2200,4080,2704,52,9036
30,1,1,0,0,0,1200,0,19,1219
58,2,1,1,1,710,1397,3,18,2128
65,2,1,1,1,459,1850,49,24,2382
110,2,3,2,2,1276,6500,517,83,8376
600,5,7,8,0,0,9000,1875,136,11010
35,1,1,0,1,1,1950,0,25,1976
65,3,1,0,13,510,1880,30,24,2444
83,2,1,1,6,550,1600,125,21,2296
100,3,2,0,3,800,2000,250,26,3076
90,2,2,1,3,1000,3000,50,39,4089
65,1,1,1,14,2400,3500,1,45,5946
135,3,2,2,3,1650,2300,775,30,4755
90,2,2,2,0,0,1800,0,28,1828
58,2,1,1,8,650,1500,5,20,2175
34,2,1,0,10,300,2200,15,28,2543
350,3,5,3,0,0,12000,1250,181,13430
45,1,1,1,18,2200,4500,334,58,7092
120,3,2,1,1,870,2500,160,32,3562
45,1,1,1,4,417,850,140,11,1418
26,1,1,0,0,0,900,10,12,922
137,4,1,1,4,435,3000,5,22,3462
200,2,2,1,0,0,2000,1,31,2032
20,1,1,0,6,602,1800,130,23,2555
163,3,3,3,8,1532,2550,417,33,4532
32,1,1,1,8,597,2088,0,7,2692
45,1,1,1,7,695,1700,170,22,2587
147,3,2,0,9,1500,4250,0,54,5804
260,3,2,1,0,0,3000,334,46,3380
36,1,1,1,8,600,3400,80,44,4124
20,1,1,0,3,602,1800,130,23,2555
112,1,2,2,7,0,8389,0,107,8496
35,1,1,0,9,450,1300,40,17,1807
280,3,4,2,0,0,2590,310,39,2939
137,2,2,1,0,0,4600,410,70,5080
120,3,3,1,4,1015,3070,0,39,4124
62,3,1,1,7,400,1600,25,21,2046
70,2,2,0,0,0,1980,0,30,2010
78,3,2,2,10,650,2400,117,31,3198
39,1,1,1,24,600,4200,125,54,4979
90,3,3,2,4,740,1350,78,18,2186
121,2,3,1,20,825,2560,170,33,3588
97,3,3,2,7,1058,2500,275,32,3865
130,2,2,2,0,0,3500,448,53,4001
46,2,1,1,4,250,1250,0,16,1516
93,2,2,2,2,1166,5500,325,70,7061
70,2,2,0,1,280,1000,138,13,1431
100,2,1,1,0,0,1900,84,29,2013
64,1,2,1,3,763,2603,101,16,3483
84,2,2,0,12,747,1500,0,20,2267
146,3,5,3,17,1400,9000,0,115,10520
110,3,2,1,1,1000,5500,25,70,6595
80,1,2,1,10,1000,4000,109,51,5160
280,3,4,4,4,5000,15000,1500,191,21690
180,4,3,2,5,2650,5500,667,70,8887
20,1,1,0,2,150,3142,67,40,3399
70,3,1,1,9,1000,2500,0,32,3532
54,1,1,1,13,1484,4130,250,53,5917
469,4,5,4,12,5706,15000,2260,191,23160
240,3,4,4,1,2800,7000,0,89,9889
141,3,2,2,11,2200,6900,450,88,9638
70,2,1,0,1,0,1600,0,21,1621
58,1,2,1,14,920,5800,200,74,6994
160,3,2,2,2,1700,3599,490,46,5835
348,3,3,3,0,0,6000,350,91,6441
68,2,1,1,1,1064,1200,0,16,2280
58,2,2,2,8,347,3500,0,45,3892
138,2,3,2,9,2082,2180,606,28,4896
55,1,1,1,11,696,2200,148,28,3072
170,3,2,2,0,0,2300,98,35,2433
400,3,7,4,0,3000,20000,84,254,23340
188,5,4,0,0,0,4000,178,61,4239
240,3,4,2,0,1,8200,625,124,8950
23,1,1,0,23,392,2100,41,27,2560
48,1,2,1,2,750,3857,0,13,4620
380,3,5,4,0,0,3800,459,58,4317
58,2,2,1,12,928,4000,256,51,5235
200,2,1,1,0,0,2450,200,37,2687
70,2,1,1,7,2065,3300,211,42,5618
126,2,2,1,0,0,2500,0,38,2538
218,3,4,2,6,1800,7800,334,99,10030
190,4,4,2,14,900,3200,192,15,4307
64,1,2,1,11,930,1540,68,20,2558
420,4,4,4,7,6000,12000,2000,153,20150
42,1,1,0,6,345,1800,0,23,2168
284,4,3,4,0,1500,6000,405,91,7996
108,3,2,2,2,980,2200,195,28,3403
95,2,1,1,0,0,2900,0,44,2944
217,2,3,3,5,2500,6000,1000,77,9577
190,3,3,2,10,2800,9000,888,115,12800
150,2,2,1,0,0,1060,167,16,1243
75,1,2,0,4,260,2100,0,27,2387
40,1,1,0,0,0,780,17,12,809
110,2,1,1,2,1200,3000,137,39,4376
139,4,5,2,6,1500,10000,584,127,12210
30,1,1,0,12,350,3400,0,44,3794
58,2,1,1,9,397,1800,0,23,2220
150,3,4,2,0,125,2750,159,42,3076
131,4,4,3,1,2100,6000,798,77,8975
18,1,1,0,0,0,1720,0,22,1742
80,2,1,1,6,400,1500,0,20,1920
144,3,4,3,4,856,7200,589,92,8737
85,2,1,0,4,510,1617,67,21,2215
76,2,2,1,2,900,3410,272,44,4626
370,5,3,4,0,0,8500,492,128,9120
100,2,1,0,16,550,900,61,12,1523
260,3,5,0,0,0,9000,634,136,9770
220,3,4,2,0,400,15000,834,226,16460
273,3,3,1,5,1880,5000,778,64,7722
107,3,2,1,12,1040,5800,386,74,7300
34,2,1,0,10,300,2200,15,28,2543
80,2,1,0,0,0,4892,0,74,4966
550,4,5,0,1,2700,8800,0,112,11610
60,3,3,2,0,0,2700,273,41,3014
45,2,1,1,24,545,1850,104,24,2523
170,4,2,3,0,0,2550,0,39,2589
200,3,4,3,18,2350,6200,1084,79,9713
70,2,1,1,15,350,2250,78,29,2707
77,2,2,1,5,998,1950,213,25,3186
270,4,4,4,11,2800,15000,100,191,18090
339,4,5,4,13,2800,15000,1440,191,19430
50,1,1,0,0,0,1100,0,17,1117
104,2,2,0,3,756,2200,0,28,2984
68,2,2,1,19,710,6700,225,85,7720
240,4,4,3,4,8000,2000,2000,26,12030
45,1,1,1,14,2200,2300,167,30,4697
189,4,3,3,3,3434,4500,1334,58,9326
43,1,1,0,6,219,1472,42,6,1739
35,1,1,1,1,0,1010,30,13,1053
200,3,3,2,0,0,8000,292,121,8413
250,3,5,8,0,0,6000,7,91,6098
400,4,6,3,0,0,7225,163,109,7497
45,1,1,1,1,3000,5520,0,70,8590
22,1,1,1,25,471,2200,55,28,2754
180,3,3,2,4,2100,8000,413,102,10620
486,4,6,5,8,4614,4861,3772,62,13310
72,3,2,2,7,720,2312,0,8,3040
830,2,2,2,0,0,2001,159,31,2191
52,1,1,1,1,410,4667,64,60,5201
90,1,1,0,11,300,2066,0,27,2393
165,3,2,1,1,1100,1800,294,23,3217
71,2,2,1,4,730,1250,35,16,2031
65,2,2,2,6,717,2000,0,26,2743
260,3,5,5,0,1700,7600,584,115,9999
140,2,1,0,8,1300,4500,0,58,5858
200,3,2,3,14,3000,8000,667,102,11770
204,3,2,2,2,3550,7000,764,89,11400
96,3,1,2,1,600,1847,15,24,2486
136,3,4,3,4,1546,3500,350,45,5441
156,3,2,1,0,0,6400,59,97,6556
98,1,1,1,5,730,2800,152,36,3718
150,3,3,3,0,100,4600,234,70,5004
200,3,3,5,0,0,14000,834,211,15050
31,2,1,0,2,0,1040,0,14,1054
136,3,2,2,13,1259,15000,374,191,16820
440,4,4,4,11,4985,10200,2849,130,18160
110,3,3,1,9,1000,3000,84,39,4123
347,5,5,4,0,0,7000,500,106,7606
98,3,2,1,5,1520,2400,0,31,3951
600,3,3,3,9,6826,15000,2860,191,24880
53,2,2,1,10,579,3000,89,39,3707
58,1,2,2,2,630,1450,67,19,2166
162,2,2,3,6,1500,15000,609,191,17300
50,1,1,1,20,781,5300,212,68,6361
230,5,3,2,0,0,3491,291,53,3835
93,3,4,2,6,1000,2800,257,36,4093
93,1,3,1,4,1040,3500,33,45,4618
20,1,1,0,6,602,1800,130,23,2555
150,3,2,0,0,0,2500,150,38,2688
182,3,5,3,10,3600,4900,875,63,9438
48,1,1,1,2,625,1797,0,18,2440
98,3,2,2,10,900,4500,0,58,5458
197,3,4,1,10,2665,4500,459,58,7682
114,4,4,2,6,1115,2790,321,36,4262
70,2,1,0,1,300,1300,53,17,1670
240,5,2,3,0,0,6500,290,98,6888
55,1,1,0,1,0,1100,0,8,1108
90,3,3,1,0,0,2600,11,40,2651
106,3,2,1,14,1030,10000,145,127,11300
250,3,4,2,1,2400,7000,42,89,9531
168,3,2,4,0,600,3500,317,53,4470
150,3,2,1,8,1172,4800,0,61,6033
350,3,3,3,0,0,10000,1292,151,11440
23,1,1,1,12,600,2800,99,36,3535
290,4,4,2,6,3200,7800,584,99,11680
160,4,3,0,1,1172,2300,59,30,3561
12,1,1,0,0,0,1050,50,14,1114
280,3,4,2,0,8000,8000,667,121,16790
107,3,3,2,3,1600,4500,417,58,6575
25,1,1,0,0,0,1750,0,23,1773
37,1,1,0,1,0,1400,0,18,1418
157,4,3,2,0,0,6608,492,100,7200
71,2,3,2,13,500,3700,50,47,4297
130,4,3,2,13,1180,2500,334,32,4046
300,3,4,7,0,0,4340,550,66,4956
525,5,4,4,0,0,8330,2167,126,10620
94,3,3,2,1,750,2433,0,31,3593
240,4,2,6,0,0,4675,381,71,5127
400,3,3,4,0,0,3790,160,57,4007
228,3,4,3,6,3500,14000,1000,178,18680
395,4,4,3,16,2137,15000,834,191,18160
227,4,4,3,6,4000,9000,1417,115,14530
685,4,3,5,11,3960,13000,3120,165,20250
297,4,6,2,3,2800,2800,433,36,6069
145,3,3,1,1,1225,5800,375,74,7474
180,3,4,4,0,0,3230,250,49,3529
269,4,5,0,12,3000,5100,963,65,9128
270,3,3,3,16,2800,13000,959,165,16920
390,3,4,4,10,2710,9000,2682,115,14510
200,2,5,2,2,2448,15000,937,191,18580
330,5,4,2,0,0,7650,720,115,8485
66,1,1,1,4,2077,1600,349,21,4047
290,5,3,3,6,3800,4100,1435,52,9387
45,1,1,0,0,700,1500,0,20,2220
98,2,2,0,5,890,4500,34,58,5482
160,2,1,0,12,1200,2400,0,31,3631
80,2,1,1,13,937,2900,84,37,3958
160,2,3,2,21,2200,12000,605,153,14960
118,3,2,2,4,1520,8950,402,114,10990
230,4,3,2,1,2300,12200,542,155,15200
650,4,6,4,0,760,13000,1042,196,15000
147,3,3,3,5,2000,12000,1000,153,15150
138,3,1,0,0,0,3500,445,53,3998
102,2,2,2,0,0,3500,248,53,3801
57,2,1,1,5,393,1850,72,24,2339
36,1,1,1,15,750,3328,125,14,4217
248,3,4,4,2,3163,14000,966,178,18310
190,4,2,3,0,0,8000,525,121,8646
60,2,1,1,3,200,1299,84,17,1600
309,4,7,8,0,0,10000,1167,151,11320
884,5,7,6,8,9000,12750,5917,162,27830
40,1,1,0,4,420,500,17,7,944
80,2,2,1,0,0,1600,25,25,1650
200,4,5,4,16,2607,10000,1150,127,13880
60,1,1,1,0,0,1500,100,23,1623
180,2,3,2,0,0,3150,301,48,3499
213,4,4,3,17,2600,6500,1157,83,10340
190,3,2,1,6,3040,6800,56,87,9983
205,3,2,4,0,0,2570,57,39,2666
126,3,4,1,3,1980,4000,309,51,6340
260,4,4,6,22,2480,5500,1167,70,9217
66,1,1,1,2,900,5000,62,64,6026
900,4,9,8,1,0,15000,5700,226,20930
380,4,3,3,11,3500,5800,1600,74,10970
146,3,3,2,9,1200,2000,292,26,3518
53,1,1,1,13,494,650,34,9,1187
326,3,4,5,12,3600,15000,3000,191,21790
230,3,2,0,1,0,2500,500,32,3032
123,3,3,2,3,1527,3400,334,44,5305
30,1,1,0,7,545,1350,39,18,1952
60,2,1,0,0,0,1100,50,17,1167
200,2,2,1,10,2700,9500,600,121,12920
315,3,4,5,14,1500,15000,1000,191,17690
55,2,1,0,0,380,1350,0,18,1748
70,2,1,0,1,0,2448,159,32,2639
49,2,1,1,5,273,1010,0,13,1296
18,1,1,0,8,400,1130,30,15,1575
100,3,3,4,0,0,2500,146,38,2684
61,2,1,0,5,715,3050,0,39,3804
79,2,3,2,15,768,3200,268,41,4277
73,2,2,1,11,700,1250,150,16,2116
30,1,1,0,1,0,1550,21,20,1591
61,2,1,0,3,240,1841,0,24,2105
34,1,1,1,1,0,2890,0,37,2927
50,2,1,1,3,613,1000,20,13,1646
100,2,2,1,0,0,1750,140,27,1917
55,1,1,1,14,1000,4950,225,63,6238
100,2,3,1,2,1260,3973,267,51,5551
110,3,2,2,2,1145,2400,247,31,3823
40,2,1,1,3,320,1200,70,16,1606
223,3,5,2,2,1400,3300,290,42,5032
384,4,6,4,3,3500,15000,344,191,19040
418,2,4,3,17,5274,6875,117,88,12350
380,4,1,0,0,0,2890,150,25,3065
225,4,3,2,0,0,4400,290,67,4757
40,1,1,0,0,0,850,0,11,861
74,2,2,2,7,1100,3400,163,44,4707
185,3,3,2,9,0,12000,0,153,12150
70,2,2,0,5,0,1000,62,16,1078
150,3,2,2,2,1181,2000,384,26,3591
150,3,3,8,0,0,8000,1084,121,9205
25,1,1,0,1,350,750,57,10,1167
320,5,4,4,0,0,14650,960,221,15830
328,3,4,4,18,1382,6000,800,77,8259
179,4,4,3,8,1100,8500,751,108,10460
62,2,2,2,4,900,2290,284,30,3504
210,3,4,4,4,2600,15000,1334,191,19130
75,2,2,0,1,750,2125,146,27,3048
76,2,2,2,9,679,3100,146,40,3965
146,3,3,2,3,1600,6500,417,83,8600
55,2,2,1,4,380,1850,0,24,2254
165,4,4,4,1,1400,5700,834,73,8007
96,3,2,2,6,750,3600,138,46,4534
300,3,3,8,0,0,4000,350,61,4411
287,3,2,5,0,0,15000,0,226,15230
35,1,1,0,7,465,1200,0,16,1681
23,1,1,0,13,231,2500,0,32,2763
25,1,1,0,4,290,2000,130,26,2446
140,3,2,0,8,2500,1799,375,23,4697
147,3,2,3,11,1425,1620,184,21,3250
90,2,1,0,1,0,1500,101,20,1621
224,4,5,3,12,9500,9500,1650,121,20770
170,3,2,2,0,0,1800,41,28,1869
126,3,4,3,99,1570,13000,429,165,15160
72,2,2,1,18,800,7500,225,96,8621
45,1,1,1,2,460,2532,0,9,3005
45,1,1,1,8,694,1800,172,23,2689
100,3,2,2,6,1200,2000,0,26,3226
152,2,2,1,3,1000,15000,250,191,16440
40,1,1,1,12,300,3470,70,44,3884
200,3,2,1,8,1500,8000,42,102,9644
310,3,3,2,16,2720,15000,846,191,18760
20,1,1,0,5,420,1700,45,22,2187
200,3,2,2,8,1626,3000,0,39,4665
76,1,2,1,4,1180,4200,30,54,5464
20,1,1,0,3,300,600,40,8,948
200,4,3,3,0,0,3800,834,58,4692
54,2,1,0,7,535,2001,0,26,2562
100,1,1,2,8,990,4200,284,54,5528
90,3,2,0,9,900,2100,84,27,3111
300,3,3,4,0,0,9000,650,136,9786
70,2,1,1,7,780,1300,121,17,2218
60,2,1,0,0,0,1380,21,21,1422
100,2,2,2,0,0,3900,34,59,3993
270,3,4,2,11,3158,15000,1100,191,19450
90,3,1,1,2,600,2400,0,31,3031
220,3,4,4,2,3167,5500,1084,70,9821
60,1,1,1,7,1037,2023,0,26,3086
